Word,POS_Tag,POS_Category
Former,NNP,Noun
BBC,NNP,Noun
Business,NNP,Noun
anchor,NN,Noun
commentator,NN,Noun
Susannah,NNP,Noun
Streeter,NNP,Noun
headline,VB,Verb
Tech,NNP,Noun
Talk,NNP,Noun
Wales,NNP,Noun
event,NN,Noun
Celtic,NNP,Noun
Manor,NNP,Noun
Resort,NNP,Noun
month,NN,Noun
Streeter,NNP,Noun
Chief,NNP,Noun
Investment,NNP,Noun
Strategist,NN,Noun
Wealth,NNP,Noun
Club,NNP,Noun
discuss,VB,Verb
technology,NN,Noun
investment,NN,Noun
business,NN,Noun
growth,NN,Noun
are,VBP,Verb
intertwined,VBN,Verb
event,NN,Noun
returns,NNS,Noun
Thursday,NNP,Noun
event,NN,Noun
bring,VB,Verb
members,NNS,Noun
Wales,NNP,Noun
growing,VBG,Verb
technology,NN,Noun
community,NN,Noun
discuss,VB,Verb
emerging,VBG,Verb
trends,NNS,Noun
investment,NN,Noun
opportunities,NNS,Noun
challenges,NNS,Noun
facing,VBG,Verb
businesses,NNS,Noun
discussion,NN,Noun
explore,VB,Verb
emerging,VBG,Verb
trends,NNS,Noun
market,NN,Noun
developments,NNS,Noun
opportunities,NNS,Noun
organisations,NNS,Noun
seeking,VBG,Verb
harness,VB,Verb
technology,NN,Noun
growth,NN,Noun
